customer_id,comments
327228,Data privacy is taken seriously. I guess everything is ok overall.
97319,
285119,Lack of services for my special needs. Savings rates from you are soo low...
143404,this bank's service is really unacceptable!
30183,Cars-[[Servise provided to your customers is consistently disappointing; Disappointed with the service provided by thhis bank
215074,I was disappointed with the service
56517,The fees charged by this bank are reasonable. The banking services have been great  and Im very content
219653,No comment
250643,Don't like the bank's mobile app. Really not happy with this bank!.
42804,Not happy that youve closed so many of your branches. Low quality customer service. The banks overall poor performance has made me decide to switch soon.
84654,
69809,The pank customer service is unsatisfactory.
130775,
67036,The banke needs tto work to earn customers trust regarding data privacy. ..
267974,
42244,The mortgage rates are quite reasonable at this bank. I guess everything is pretty decent overall
102296,
146677,Poor savings interest rates. Just unacceptable really.
333734,
134442,
158949,
171947,This bank needs to ensure the mobile app is more secure. I'm not satisfied with the high fees I have to pay. Just not acceptable
146181,i've been disappointed with the service provided by this bank and am considering taking my business elsewhere
162602,Limited services are available foe myy specific needs. Must try harder.
172061,services are limited for customers like me * the banks overall poor performance has made me decide to switch soon.
202438,Bank does great charity work in the locality. them banking serves and support have been outstanding  and Im thoroughly pleasent
18242,
359490,You need to be more careful with customer's data. Expansion of financial product range is necessary.
276061,lack of banking services for May needs. migh just close my account now.
60173,
11796,II like thst my bank supports local businesses and entrepreneurs; Pretty good
217596,The nearest bank branch is within close proximity. In general  this bank is acceptable.
247779,Data privacy is not being given enough importance by the bank | The bank ' s customer serve is frustrating | O expected al higher level of service from this bank and have been let down
345479,Not happy. Would not recommend to a friend
316073,This bank goes above and beyond in supporting community initiatives | The mobile app is well-designed and secure.
273999,Fairly good choice for banking..
319448,No comment
139428,The mortgage rates offered by this bank are quite competitive. This bank is committed to giving back to the community. I'm pretty content with the bank's service..
6296,
215236,The proctetion of customer data is a crucial aspect for the plank. ...
264591,Very limited mortgage products
83510,good website for this bank  the bank has a large number of branches
173485,No comment
265229,The banks customer service is unpleasant
206149,The savings rates from you are soo low * Really not happy with you!
218900,banking fees ara not too high.
21769,
352838,very happy with my bank...
58431,
250988,The ATM network for this bank is very limited. Really not happy with this bank!!.
289121,I suppose everything is good overall
15473,Well designed mobile app which is easy to use even for people like me!!....
71543,The banks customer service is unsatisfactory. The locations of the bank are inconvenient. I expect a higher level of service than what was provided. This is unacceptable and needs to be addressed..
48641,I expected better service from this bank and have been disappointed.
98025,No comment
88258,
383618,
108626,The banks online platform is really impressive. Im satisfied with my bank....
298982,lots of branches. i don't mind the fees and charges with this bank. passable overall
201743,Bank really should contribute more to our community. Might just close my account now
165861,The mobil app is weel - built and secure. Im satisfied with my bank.
95783,Customer service from this bank is really bad. Just not acceptable..
128269,The environment should be a higher priority for your bank; I am not satisfied with the service I received and would not recommend it to anyone.
271233,Vere limited mortgage products
178722,The mobile app provided for the bank is reliable and securite
33163,I find the bank's services to be quite impressive. I've had a good banking experience - thank you...
246205,Passable overall.
346629,
302448,You need to improve your online banking portal. The mobile app needs to be more secure. Your bank should work on creating a more customer-focused environment. Really not happy with this bank!.
370168,I prefer not to comment on this
178555,Cars-[[Servise provided to customers is lacking
22333,
92982,Happy with your online security * The range of mortgage products offered by this bank is impressive * I'm quite content with my bank and the service it provides.
251057,Your savings interest rates are lower than other banks. I'm seriously considering switching to another bank.
185743,Its inconvenient to go to the banks locations. Need to do better in future
341987,Seriously considerin switching to I rival bank. ..
3677,No comment..
236892,The bank ' s focue on online banking security is reassuring. Happpy enough with my bank..
335146,I find the banks services to be quite impressive. I feel good about banking with a compani that suports local initiatives. Overall  Im satisfied with the service you proivde.
75287,Bank's customer service is uncooperative | I regret opening an account with this bank.
291854,Reasonably happy overall.
275786,All in all  the bank charges are quite reasonable....
314714,Ok charges. Fairly good choice for banking...
43835,No comment..
360126,You need to redesign your mobile app * Level of customerservice provided by your bank is not impressive * Really poor service from you!.
274624,This bank has an impressive selection of mortgage options. Pretty good.
18151,I ' m content enough with my banke
154554,Banks motrgage products are quite restricted. ..
376965,bank should take a leadership role in community development  not good enough at all!
12596,
20835,bank has a limited range of services that cater to me. your app experience is disappointing. ive been thoroughly disappointed with the level of service provided by this bank....
248590,Bank could provide more options for customers like me.
1496,Bank has very few services that meet my requirements. Im quite dissatisfied and would not recommend...
387645,The customer service is not helpful. The level of customer service provided by this bank is not acceptable. Might close my account...
32597,Banks mortgage options are insufficient. This is not good enough.
6422,Overall  I'm happy enough;
215734,I like that my bank is committed to supporting environmental causes. The fees charged by this bank are reasonable. Reasonably happy overall
233258,
332789,Their savings rates are soo low  just not acceptable.
17399,
79013,
128096,
315607,Your mortgage rates are higher than other banks
327654,
50407,Good mobile app and seems v secture.
44896,
218931,Nothing to say
80854,No comment..
305914,Bank needs to show more support for locals!!. My experience with this banks service has been so negative that I wouldnt suggest it to anyone.
6246,the bank's mortgage rates are unreasonably high. need to do better in future.
141616,Service provided to customers is lacking. Seriously considerin switching to a rival bank
294421,The mortgage rates are too much of a burden. The banks customer service is frustrating. Im not happy with the service I received and wouldnt suggest it to anyone else
45907,My bank has been a fantastic supporter of our local schools  which is really appreciated
387923,No comment
26648,The bank ' s website ara reall easy to navigate. Generally speaking  everything is fine.
112045,The customer service experience is disappointing. This is unacceptable!
126887,Branch locations aye inconvenient; This is unacceptable!
110747,thinking of closing my account...
324622,
271089,Bank has many ATMs * I'm quite content with my bank.
47404,The charges aren't too excessive. The customer service representatives are very friendly and helpful. Fairly good choice for banking.
40097,
44908,Dealing with this bank is extremely inconvenient. I expected better service from this bank and have been disappointed.
375083,Bank has very few services that meet my requirements. Really poor overall. Think i'll switch bank soon.
222296,The bank has impressive savings rates that are hard to find elsewhere
25844,The banks overall poor performance has made me decide to switch soon
274408,Fair mortgage rates!. Overall reasonably satisfied
58485,Mortgage rates are too high and services at this bank really need to be improved.
150989,Good to see that my bank is taking environmental concerns seriously. Overall  pretty happy with my bank.
295493,
311938,The savings interest rates offered ba thes bank are dismal; The bank needs to be more careful with customer data; Jast unacceptable really..
377501,Monthly fees arent too bad. Good over all  I guess.
159235,
372614,No comment
112582,
184725,mobile app is really poor. ive been disappointed with the service provided.
379905,
68902,It's good to see that my bank is actively involved in supporting local groups. Okay overall
148335,happy enough with my bank...
70172,Ok fees. ..
229192,Banking fees are too high. Not many financial products for people like met. This is unnacceptable!
122043,The online banking service provided by the bank is very extensive. Passable overall.
85963,
60332,
136248,There interest rates on mortgages ar'e too steep. I wish I hadn ' t opened an account with this bank
209802,Overall you're doing a decent job.
283637,Bank savins rates wayy too low
266063,I'm getting tired of all the unexpected banking fees. The bank's overall poor service has me contemplating switching.
127829,No comment
27867,this is not good enough
184235,The bank has competitive mortgage rates that are worth considering
376459,I guess everything is pretty decent overall..
329777,Banking fees are manageable. I'm thoroughly pleased with the banking services -  and I'm a happy customer overall
293005,Im seriously considering taking my business elsewhere.
373944,Your banking services are limited in scope. I had higher expectations of the service provided...
125508,
377266,Stop putting up your mortgage rates!!. Not happy. Would not recommend to a friend
112280,no  commentno comment
244103,The bank provides somy good savings rates. Im ' m satisfied enough with my bank.
123131,THe bank ' s overall poor server has me contemplating switching
295874,
306350,Bank's mobile app is in need of enhancement. This bank's performance is unacceptable.
99473,Overall - Im resonably satisfied.
265211,
128626,Good savings rates. They mobile application offerd by the bank is of high quality
120103,Data privacy is an area where the bank needs to improve. Just unacceptable really
207807,Your bank should give back to the local community. I expected better service from this bank and have been disappointed...
255798,The ATM network of this bank is excellent; Pretty satisfied with my bank;
179169,Ive beem disappointed with the service provided
47821,The service provided by this bank is very disappointing
192090,The mobile app is noct good; Bank has nery few services that meet ma requirements; Really not happy with you! !; ...
98239,the bank's web experience is disappointing * i expected a better level of service from my bank and feel let down.
107228,Generally I'm very pleased
210294,I believe the bank has the potential to make a positive impact on the community  if only it tried a bit more. Just unacceptable really.
214514,
369046,You need to redesign your mobile app...
83777,Mobile app appears to be secure.
158969,The banks customer service is exceptional. Im pretty content with the banks service....
262878,Not applicable
188638,Tho bank ' s customer service is unhelpful. My experience with this bank ' s service has been sooo negative that I wouldn ' t sugges it to anyone. ..
288260,The customer service provided is rude; I wish i hadn't opened an account with this bank..
181987,Mortage rates are too high. This banks performance is unacceptable....
85185,---I do not like the online site of the bank  ---
292027,I want the bank to be more transparent about how my date is sused. The bank ' s overall poor service has e contemplating switching
106496,---im tired of the banks bad customer service. the mortgage rates are too much of a burden. just unacceptable really---
177476,Your fees are too much. I had such a bad experience with your bank's services that I would advise against using it
307447,
153293,
135965,Compared to other banks  this bank's fees are competitive. I suppose everything is good overall.
5886,
334510,My experience with this bank's service has been so negative that I wouldn't suggest it to anyone
38457,It ' s importanto for our bank to show more responsibility towards the environment. ..
320447,You guys need to do better
209820,Your bank needs to show more suppport far local causes; I think i ' m going to swith to a competitor;
358788,
287994,Your app experience is disappointing. I expected better service from this bank and have been disappointed
199820,
12481,I appreciate how easy it is to acsess my acconunt online. The bank ' s savings rates are competitive with ohers banks in the industry
338435,The bank charges are too high.
26651,i like the mobile app. decent stuff overall...
379139,Customer service experience is unpleasant. What I experienced is just not acceptable
297348,
153528,
235869,Disappointed with the service provided by this bank
115880,---Your poor service is making me switch bank---
698,Fees are eating into my savings. I expect better treatment from my bank. Ill be switching banks soon due to the poor overall experience.
41423,I think the mobile app provided by the bank is excellent. Im really happy with my bank overall.
293168,no comments.
43912,Ive bean disappointed with the service provided.
368702,
82111,Banks website is quite user freindly. Im quite satisfed overall
138892,your poor service is making me switch bank
209443,Fees and charges are not excessive with this bank
58157,Dont like the mobile aplication. Ill bee switching banks soon due to the poor overall experience
81147,---The bank places great emphasis on protecting customer data. Generally speaking  I'm quite content with the service.---
148184,---the environment is a shared responsibility  and your bank can do better. this is not good enough.---
199626,
186866,There is nothing to comment on here.
199184,the bank's locations are not convenient. i'm seriously considering switching to another bank..
148931,This bank offers great services that cater to my needs. Im satisfied with the service provided..
22826,Nothing to comment here
285996,---you need to redesign your mobile app---
71834,No comment..
62413,Services really need to bè improved at this bank.
364748,The bank's online banking portal is top-notch. V satisfied with the great banking service provided
315806,tThe mortgage rates provided by this bank are impressive. Data privicies is taken seriously. On the whole  youre doing find. ..
173706,
87367,The mobile app provided by the bank is really convenient. I'm quite content with my bank...
335088,In general I'm happy with my bank
224871,Not good enough at all!.
123787,the fees for opening a new account are To much. serves really need to by improved at this bank..
38640,Bank branches are really easy to find.
262809,no  commentno comment
282842,
318827,Good customer service. I am quite satisfied.
189297,Online banking is really poor. This is unacceptable AN heeds to be addressed. ..
22749,Banks financial products need to be more diverse. Im not sure ill stay with this bank much longer
36801,Bank really should contribute more to our community. This is unacceptable and needs to be addressed
184261,This bank actively supports the local art scene
321095,i'm not happy with the service i received and wouldn't suggest it to anyone else....
199548,I want the bank to be more transparent about how my data is used. Im thoroughly disappointed and frustrated with the service provided..
78805,the bank's mobile app makes banking on-the-go a breeze. extremely happy with my bank.
32253,Banks services are very good and exceed my expectations. On the whole  youre doing fine..
70598,I ' and been thoroughly disappointed with the level of service provided by htis bank
338670,
95045,Online banking is conveninent and easy with this bank
63600,The bank's customer service is one of their best features; The mortgage rates seem to be quite fair; Overall  I'm satisfied with the service you provide;
183297,Thinking of closing my account.
171523,No comment
56156,The savings rates from you are so low. Serves really needd to be improved at this bank. ..
152400,It hard to find ATMs for this bank.
386470,I expected better service from this bank and have been disappointed
122424,Compared to other banks  this bank's fees are competitive. I guess everything is ok overall
128750,no comments.
381907,No comment
120570,The mortgage rates available at this bank are quite competitive. Decent stuff overall...
252263,The banks customer services is quite discourteous. Really dont'n satisfied
373967,
119993,Nothing to say
310725,Bank savings rates are very low. Not good enough at all!
228999,Your bank needs to show more support for local causes. Really poor service overall  considering switching bank.
303873,
142478,ive been charged unexpected fees by this bank. think ill close my account
284691,This bank has good options for mortgage and savings rates. Decent stuff overall
193952,What I experienced i's just not acceptable.
19674,The bank's customer service is frustrating. I feel that your bank does not value its customers. Thinking of closing my account
251819,Bank branches are hard to find. I'm considering switching banks due to the consistently poor service.
290036,
293538,Good secure mobile phone app provided by this bank. Very satisfied
252861,
222850,
85921,
363424,This bant has good opions for mortgage and savings rates. Pretty fair option for banking
354159,Bank's services are very good and exceed my expectations; Fairly satisfied overall
77595,No comment...
205318,No comment..
285761,
308151,The range of mortgage products offered by this bank is impressive.
279317,Well done for your customer service. Im quite satisfied overall.
368391,
174349,The range of mortrage products offered be this bank is impressive. Decent stuff overall
280949,
179657,this bank's mortgage rates are quite competitive. okay overall
173401,i ' m contet enough with my bank
219128,Really not happy with this bank!.
175590,
60001,---The charges for this bank's services are reasonable. Okay overall---
322418,Lack of community engagement from the bank is disappointing. Thoroughly disappointed + annoyed with the service provided..
103509,Lots of branches.
300356,I believe the bank has the potential to make a positive impact en the community  if only it tried a bit more. Really poors overall. Think ill switch band soon
284289,The bank's branches are hard to find. Bank should take a leadership role in community development. Just unacceptable really
119178,(no comment)
206537,This bank offers pretty goot savings instresting rates. Glad that you take online banking security seriously
194351,The banks savings rates are competitive with other banks in tem industry; I gues everything is ok overall;
140584,Im grateful that my bank supports both our schools and community center. I guess everything is ok overall....
147460,Mobile app is no good. Must try hardlyer
119540,The service provided to customers is disrespectful. Thinking of closing my account
330722,Very few branches for this bank. I'll be switching banks soon due to the poor overall experience
70903,Customer service at this bank is top-notch. Savings rates are competitive
284654,Need to exert ourselves more
281925,Pretty good
322773,The charges are quite fair for the services provided by this bank; Overall  its a reasonably good option for banking...
43776,Good onlie banking portal. Il ' m pretty satisfied.
42776,I don't understand why I'm being charged so many fees. The bank should prioritize data privacy. The level of customer service provided by your bank is subpar
36545,Tha banking fees are qute reasonable  all things considered. Mobile app is really good. Bank iis decent overall
146918,overall i'm very pleased and satisfied with the banking services provided by my bank..
3792,The bank's mobile app is unsatisfactory.
193310,Might just close my account now.
317894,The protection of customer data is a crucial aspect for the bank
87973,The mortgage rates seem to be quite fair
121187,bank has a limited range of services that cater to me  your bant needs to work on imroving customer satisfaction
213995,Online banking is really good. Overall  I'm satisfied with the service you provide.
249108,There is a lack of customer service. Transparency about how you use my data is necessary. Would not recommend to a friend....
294082,Good range of financial services provided by this bank. Reasonably happy overall.
159414,Pretty good salvings interest rates. Overall  preaty happy with my bank
334781,
326587,Tsis banks service is really unacceptable!.
267452,
58028,Community involvement is an opportunity for the bank to make a difference. Customer services - not good!!. The banks overall poor service has me contemplating switching.
260934,It ' s great to see tat my bank is making a positive impact on tu community
16977,Mobile apples needs to be more secure. I excepted a higher level of service from this bank [[amd have been let down.
102062,
233870,Dont like the banks mobile app. Im thoroughly disappointed and frustrated with the service provided
120356,The bank takes data privacy seriously. This bank has a strong commitment to corporate social responsibility.
251419,Good mortgage and savings rate options. Things are pretty ok but could improve
33016,
188926,
217897,These fees for basic banking services are unreasonable.
31160,
57751,The mobile app is not good. I dont feel like this bank values my business..
7337,
202280,The service provided to customers is not useful..
7623,IT ' so very inconvenient to to business with this bank. I ' m seriously considering switching to another bank
117982,Bank's mobile app offered by the bank is secure and easy to use.
365234,Dont like your pank onlin site. Fed up with thez banks poor customer service. I regret opening an account with this bank.
297892,the protection of customer data is a crucial aspect for the bank;
256565,Your bank ' s services are limited ein scope. I wany to know more about what you do with my's data. Really not satisfied.
321765,The fees for opening a new account are too much. What I experienced is just not acceptable
67722,No comment
388050,
288800,Your savings interest rates are lower than other banks. This bank's performance is unacceptable
143575,
265952,Overall youre doing ok
156008,Security of the mobile app needs to be improved * I'm seriously considering switching to another bank.
315887,I don't like paying all these unnecessary banking fees; Really not happy with you!;
184342,The savings rates provided by thee bank are good and beneficial for customers * i'll guess everything is ok overall
252966,I find the bank's phone app really amazing. Good to see that my bank takes environmental concerns seriously. In general  I'm happy with my bank.
15863,The mobile app provided by the bank it''s user - friendly. The mortgage rates provided by tus bank are impressive. prety fair option for banking
202666,not many bank branches around here. you need to take data privacy more seriously. seriously considerin switching to a rival bank...
347312,No comment
85471,Extremely pleased with the service from my bank aund would absolutly recommend it
2762,I expected a better level of service from my bank and feel let down
43466,- - - not goot enough ar all! !; - - -
3923,Bank branches are hard to find
85592,The savings rates offered by this bank are quite competitive.
385437,Not sure I trust this bank with my data. This is unacceptable!....
80025,Service provided to your customers is consistently disappointing; This is unacceptable and needs to be addressed;
268909,Online banking is convenient and easy with this bank * In general I'm happy with my bank
111988,Nothing else
354386,I appreciate the bank's mobile app very much. Overall  I am reasonably satisfied with my bank...
274447,No comment
44472,Nothing to add
87179,Thte bank ' s mobile app has robust security measures | II ' m extremely impressed with the plank and its staff.
238652,
17664,
210605,I'm not sure i'll stay with this bank much longer.
265297,Onlineu banking is absolutelly good. Everything is pretty good. ..
313281,Banks branches are in good locations. The mortgage rates available at this bank are quite competitive. Im satisfied with my bank
171167,No comment..
301942,the banks customer service is unpleasant. im seriously considering switching to another bank...
121257,
364430,
94786,the bank's customer service is very unsatisfactory  what i experienced is just not acceptable...
209400,
140676,Bank needs to do more for the community. I'm not sure if staying ill at this bank much longer.
139852,No comment
41046,The online banking experience is unsatisfactory; I'm considering switching banks due to the consistently poor service
55101,Customer service is unsupportive....
105134,No comment...
116191,customer service at the bank is excellent!! * reasonably good option for banking
386523,The savings rates offered by the bank are among the best in the market. The banking services and support have been outstanding  and I'm thoroughly pleased.
291617,The bank charges are becoming unreasonable and the overall poor service from the bank makes me think twice about switching.
11762,The bank has inconveniently located branches. I think i'm going to switch to a competitor
97216,Bank's mortgage offerings are quite limited. I'm not happy with the level of service provided by your bank.
139994,The Bank is not doing enough to support local organisations.
64267,Community involvement should be a priority for the bank | I espected a higher level oft service Fron this bank and have been let down.
101484,Might close iMy account.
48578,Bank could do more to protect the environment * Would not recommend to a friend
362422,Need to expand your range of financial products. I expected better service from this bank and have been disappointed..
321924,
327126,No comment
306887,No comment
89417,Your banking fees are excessive. Data privacy is an area where the bank needs to improve. I expected better service from this bank and have been disappointed
255395,Savings interest rates are unacceptably low. Not hapyy. Would not recommend to am friend
225828,The financial products offered by the bank are diverse and benefical. Bank id decent overall.
347087,The bank offers some good savings rates. My bank has exceeded my expectations  and I'm thoroughly content....
22597,Community outreach should be a top priority for the bank. The bank's branches are hard to find. Might just close my account now..
80533,Fairly good choice for banking
9405,Good selection of mortgage products;
70683,The website for this banke isn't really good. ..
103824,
328077,Bank really should contribute more to our community. Fees for making bank transfers are too high. I've been disappointed with the service provided by this bank and am considering taking my business elsewhere
213910,Ypur poor service is making me switch bank
269104,This bank has an impressive selection of mortgage options. Reasonable fees for banking services...
58923,i ' m dissatisfied mith the high fees i ' m Boeing charged  i ' M considering switching banks due to the consistently poor service
224951,Prefer not to coment
13728,The customer service provided is rude. This bank is not up to scratch
381757,bank savigs rates wayy too low  neee to do better in future
64906,
76204,The bank needs to provide more information about how it handles customer data. I think im going to switch to a competitor
66109,your feel are driving me away from this bank  think ill CLOSET my account
57835,The locations of the bank's branches are very inconvenient; Need to do better in future;
333742,nothing to say
64218,Your bank should show more concern for the environment.
24438,The rates for mortgages are too expensive * not happy * would not recommend to a friend..
143378,why am i gettin all these fees? € € €. lack of services for mmy specific needs. my experience with this bank ' s service has been so negative That i wouldn ' t suggest it too anyone.
25273,
106110,No comment
360963,Interest rates on home mortgages are too high these days
184086,The savings interest rates offered by this bank are preatty gud. Customer service isd one of the strongest aspects of this bank. In general  this bank is acceptable
254092,the banks mobile app has robust securit measures. overall im happy with tie banks service.
177978,
327806,
274120,It's nice to see that my bank is involved in supporting local charities.
264711,
138161,This band is decent enough overall.
113770,
9695,Very unhelpful customer service; I expected a better level of service from my bank and feel let down;
187445,Customer service is nice!. Overall v happy
186844,Banks phone app interface is confusing. I think I'll switch to a competitor.
341177,Savings rates are so low. I've been thoroughly disappointed with the level of service provided by this bank
292467,The level of customer service provided by this bank is top-notch
117400,No. comment
246404,Overall  I ' m happined with the bank ' s severice. ..
84945,
15270,The customer service is not helpful. This is unacceptable!.
119992,---i don't mind the fees and charges with this bank. overall you're doing okay---
218046,Your's mobile app doesn ' t work. This iz not good enough.
67901,The mobile app provided bay that bank is reliable and secure
27468,It's great to see that my bank is making a positive impact on the community.
120660,Generally speaking  things are pretty gud but could improve
260322,The environment is a critical issue that your bank should focus on. I expected a higher level of service from this bank and have been let down.
211268,The customer service is not helpful. The phone app is challenging to use. Not happy. Would not recommend to a friend
359361,The customer service I received exceeded my expectations
96922,The customer service provided by this bank is very helpful....
263563,Data privacy is an area where the bank needs to improve. The bank's online banking is inadequate. You need to treat us customers better. I'm not happy with the service I received and wouldn't suggest it to anyone else
242736,The banks branches are hard whit find. Think Ill closed my account
100319,Bank's branches are in awkward locations. I wish i hadn't opened an account with this bank
17705,
231256,The banks onle banking portal is top - notch. To summarise  On reasonably pleased. ..
128540,The bank's savings interest rates are extremely low * Just not acceptable
170374,
333297,I am pretty satisfied with the bank's services. I guess everything is pretty decent overall
239923,[None]
360832,These charges for basic banking services are disproportionate * I am deeply disappointed with the level of service offered by this bank.
292587,Customer services pretty good! . Happy enough wjth my bank
134873,Both your mortgage and savings rates are poor. Need to do better in future.
108275,The bank's customer service is unpleasant | The quality of customer service provided by your bank is lacking | Things really need to be improved here.
165094,The bank should improve its online banking portal..
287329,
316021,Its good to know thas my bank iss dedicated to charitable giving. ...
109906,You need to improve your online banking portal. Not good enough!!
215186,
145135,I want to know more about what you do with my data. I'm thoroughly disappointed and frustrated with the service provided.
350790,Your poor service is making me switch bank.
27062,
101167,The customer service is below par. Your poor service has me thinking about switching bank.
148721,poor savings interest rates. not happy that you've closed so many of your branches. i expected a better level of service from my bank and feel let down
9375,Not mny branches in this aerea. Need to do better in future.
254813,
365241,Bank's mortgage offerings are very limited. Must try harder
204053,The customer service is below par. I feel my bank should treat me better. I wish i hadn't opened an account with this bank...
334186,I have always had a great experience with the banks customer service * Pretty fair option for banking.
123578,
263630,Online banking expriences couble be enhanced. Your poor service is making me switch bank.
181708,ye ' ve beans thoroughly disappointed with the level of service provided by this bank. ..
16426,Your fees are making it hard for me to continue banking with you. Might close my account
66438,This bank's fees are quite reasonable. I'm pretty happy with the bank's service....
2368,No bad fees and charges. Overall  this bank is satisfactory....
102886,Good rang of financial products.
344265,The bank's online banking features are comprehensive. Overall I would say things are good.
297739,Banck savings rates wayy too law. Seriously considerin switching to a rival bank
240848,Data privacy is taken seriously. Im pretty satisfied....
153441,Bank has a limited range of services that cater to me. The unacceptable service provided requires immediate attention.
303185,The banks owerall poor performance hs made me decide to switch soon.
25528,The bank offers s secure and user - friendly mobile apples
147519,Bank does a lot in the community. I couldnt be happier with my bank and the service it provides.
384297,Banking fees are becoming unreasonable. Really not satisfied.
341998,Pretty covenient to deal with this bank. I'm satisfied enough with my bank.
247451,Bank savings rates are very low. This bank's performance is unacceptable
286396,Phone app is difficult rto use. You guys need to dos better
186200,The fees for ATM transactions are too hugh. Im not happey with the sevice I received and wouldnt suggest it to anyone else. ...
340998,the banks branches ale located in convenient place. overall im fairly happy with the service.
272945,
129447,
353607,You do not like your bank's phone application. It is thoroughly disappointed + annoyed with the service offered
323375,I''m don ' t like paying alls these unnecessary banking fees
155887,The savings interesst rates offered Bye. this bank are pretty good
266629,---No comment---
143787,Th band has competitive mortgage rates that are worth considering. The bank and its staff deserve my highest compliments
335508,Your mobile app seems to have good security measures. It's good too. see that my bank is actively involved in supporting local groups. Pretty good overall but can do better. ..
389068,Branch locations not at alla convenient.
210430,
280629,My community is lucky to have a bank that does such excellent charity work.
3048,This bank should focus on giving back to the community....
65141,
22336,No comment
37639,The banke ' s customer service is unpleasant. L ' m not happpy with the service I received and wouldn ' t suggest it to anyone else.
167051,Onlineu banking service is very extensive
258565,
96493,The customer service team was very knowledgeable and professional; Bank is decent overall
102619,
272474,
182355,- - - N'º comments to add there - - -
8685,
142376,Bank needs to invest in community initiatives. Need to do better in future...
386349,The poor srvice provided by your bank is the reasson why I wouldnt recommend it to anyone.
113772,Happy enough with my bank.
300424,He bank ' s customer service is quite discourteous. Your poor service has me thinking aboum switching bank
349088,I expected a better level of service from my bank and feel let down..
94802,The mortgage rates are too much of a burden. Branch locations are inconvenient. Really poor service from you!...
3360,The customer service I''m received exceeded m'i expectations; I ' m pretty content with thez bank ' s service;
44582,Pretty covenient to deal with this bank
202606,
99405,the atm network for this bank is very limited. i'm not sure i'll stay with this bank much longer....
167137,Glad the bank has some good savings rates available | I guess everything is ok overall
370376,Might close my account.
77388,The bank's mobile app is unsatisfactory. Not happy. Would not recommend to a friend.
163995,I'm not satisfied with the high fees I have to pay. Thinking of closing my account
351602,The mortgage rates provided by thous bank are impressive.
15047,
